content,score,tone
"Apasih gunanya E-KTP tapi gak bisa cetak KTP-nya sesuai aplikasinya, masuk ke menu utama selalu kesalahan koneksi padahal jaringan 4G, dan tidak diberikan tutorial diawal sehingga membuat bingung usernya. KALAU TIDAK NIAT BUAT APLIKASI, GAUSAH DIPAKSAKAN LAH! Katanya ingin mempermudah masyarakat Indonesia, tapi malah 'PEMBODOHAN BERKEDOK DOWNLOAD APLIKASI'",1,-1
"Aplikasi nya ""terjadi kesalahan koneksi"" ,sudah berulang ulang kali dibuka tetap ""terjadi kesalahan koneksi"", mungkin aplikasi ini baru di bangun, tolong developer perbaiki aplikasi ini, nanti KTP nya nggak bisa aktif 😡🙏🏻🙏🏻. Tgl 27 bulan 4,sudah bisa daftar nah gitu dong aku kasih bintang 4 dulu y",1,-1
"Sangat,,,, sangat,,, sangat jelek & buruk,,, udah di instal tapi gak bisa di buka aplikasinya keterangannya selalu KESALAHAN KONEKSI padahal udah pake paket data sama wifi sedangkan buka aplikasi lain lancar"" aja, aplikasi gak layak guna (pakai) 😤👎",1,-1
"Aplikasi apa ini, tidak membantu sama sekali,, tolong perbaikilah mau loggin gak bisa padahal sudah pakai wifi, selalu tertulis jaringan tidak stabil, padahal jaringan full percuma yg tidak bisa cetak ktp ada aplikasi gak guna, tolong perbaiki lagi aplikasi nya,,",1,-1
"Konsep aplikasi ini sudah bagus. Masih ada banyak hal yang perlu ditingkatkan mulai dari kemudahan akses, konektivitas terhubung ke server, dan juga kemampuan untuk menyimpan data agar bisa diakses secara offline (karena saya melihat banyak sekali keluhan tentang masalah jaringan dan kendala mengakses aplikasi disaat sedang tidak ada kuota internet). Setelah itu, baru ditingkatkan lagi Ul nya",1,-1
"Sangat mengecewakan dimana tampilan sangat buruk disaat banyak aplikasi Android sudah banyak yang support dark mode (mode gelap) ini sebaliknya terkesan seperti aplikasi Android buatan 10 tahun yang lalu, dan masih jarang dapat update peningkatan pengalamannya, bahkan belum tersedia untuk HP Iphone",1,-1
"Aplikasi nya aslinya bagus, tapi kenapa selalu gagal terus saat di buka, gagal Koneksi terus, pada sinyal full, Internet lancar, cuman Aplikasi ini aja yg bermasalah. Tolong perbaiki dulu agar mudah enak menggunakan nya.",1,-1
"Sangat buruk.. aplikasi tidak bisa terhubung dng data seluler.. harus pake wifi baru terbuka(terhubung) Kalo di bilang jaringan yg buruk, buka youtube aja lancar jaya.... artinya kesalahan bkn dari jaringan, tapi dari apk nya.",1,-1
"Aplikasi nya sangat sangat tdk membantu, saat ingin membukanya malah tidak bisa.. Untuk apa Dukcapil mewajibkan menginstal aplikasi ini kalo hanya sekedar jadi pajangan di hape? Tolonglah di perbaiki lagi aplikasinya, saat ingin melihat data log in mudah",1,-1
"UI nya sederhana, saat registrasi perlu ditingkatkan kemudahan foto ulang karena jika foto ulang maka kembali isi biodata awal, capek kuyy. Isi dalam app seakan-akan copas dari pdf. versi cetak yang sudah ada dan masih tidak bisa urus tanda tangan digital ke peruri langsung dari aplikasi ini. Semoga app ini bermanfaat dan kedepannya banyak perbaikan.",3,-1
