content,score,tone
apasih guna e ktp gak cetak ktp nya sesuai aplikasi masuk menu utama salah koneksi jaring g tutorial awal bingung usernya niat aplikasi gausah paksa mudah masyarakat indonesia bodoh kedok download aplikasi,1,-1
mudah gimana sih masuk susah banget sinyal g gk gilir pake wifi gk dukung banget orang yg tinggal kampung yg sinyal lemah appsnya tolong upgrade gk susah guna niat mudah kek gimana sih buka kadang masuk aja susah banget,1,-1
aplikasi nya salah koneksi ulang ulang kali buka salah koneksi aplikasi bangun tolong developer baik aplikasi ktp nya nggak aktif tgl daftar gitu kasih bintang y,1,-1
jelek buruk udah instal gak buka aplikasi terang salah koneksi udah pake paket data wifi buka aplikasi lancar aja aplikasi gak layak pakai,1,-1
aplikasi bantu tolong baik loggin gak pakai wifi tulis jaring stabil jaring full yg cetak ktp aplikasi gak tolong baik aplikasi nya,1,-1
kecewa mana tampil buruk saat aplikasi android support dark mode mode gelap kes aplikasi android buat jarang update tingkat alam sedia hp iphone,1,-1
aplikasi nya asli bagus gagal buka gagal koneksi sinyal full internet lancar cuman aplikasi aja yg masalah tolong baik mudah enak nya,1,-1
buruk aplikasi hubung dng data seluler pake wifi buka hubung kalo bilang jaring yg buruk buka youtube aja lancar jaya salah bkn jaring apk nya,1,-1
aplikasi nya tdk bantu buka dukcapil wajib menginstal aplikasi kalo dar pajang hape tolong baik aplikasi data log in mudah,1,-1
ngaco salah koneksi cepat internet mbps tes pake wifi mbps aplikasi perintah yg mudah optimal tp kendala server yg bug perintah fokus system digital segi aman mudah kelola data warga hemat ruang yg berat yak alas,3,-1
aplikasi susah mana fungsi software mudah rumah kantor dukcapil scan barcode brp kali bolak kesini error koneksi mulu jaring normal bagus,1,-1
aplikasi ampas daftar gak coba salah koneksi sinyal bagus banget ganti ktp situs alih apk kaya gin gampang banget apk ikd ribet mana letak mudah masyrakatnya,1,-1
konsep aplikasi bagus tingkat mudah akses konektivitas hubung server mampu simpan data akses offline keluh jaring kendala akses aplikasi saat kuota internet tingkat ul nya,1,-1
ribet scan barcode dukcapil ini aplikasi mudah warga yg luar kota ktp digital mudah sulit tolong baik dukcapil,1,-1
sy kecewa aplikasi buruk selesai daftar buka kali buka salah koneksi tolong koneksi andal jgn saran wajib masyarakat,1,-1
nilai gin aneh login data login wifi rumah gabisa masuk harap depan update ikd simpel sulit percaya aplikasi keluar perintah gabisa pakai login make wifi,3,-1
