content,score,year,month,day,tone
apasih gunanya ektp tapi gak bisa cetak ktpnya sesuai aplikasinya masuk ke menu utama selalu kesalahan koneksi padahal jaringan 4g dan tidak diberikan tutorial diawal sehinga membuat bingung usernya kalau tidak niat buat aplikasi gausah dipaksakan lah katanya ingin mempermudah masyarakat indonesia tapi malah 'pembodohan berkedok download aplikasi',1,2024,5,1,-1
aku kasih bintang 3 karna mau masuk aja harus pake wifi pakai data seluler gak mau nyambung koneksi bermasalah untuk lain nya sudah bagus untuk barcode nya meski ribet ke kantor desa oke gak masalah karna untuk alasan menjamin keamanan data mohon perbaikan untuk aplikasi agar bisa konek dengan sambungan data selular saja,3,2024,5,13,-1
sebenarnya ini untuk mempermudah apa gimana sih setiap mau masuk susah banget sinyal 4g masih gak bisa giliran pake wifi baru bisa ini gak mendukung banget buat orang yang tingal di perkampungan yang sinyalnya lemah buat apsnya tolong di upgrade lagi lah jadi gak buat susah penguna niatnya mau mempermudah tapi kek malah gimana sih mau buka kadang buat masuk aja susah banget,1,2024,5,6,-1
aplikasi nya terjadi kesalahan koneksi sudah berulang ulang kali dibuka tetap terjadi kesalahan koneksi mungkin aplikasi ini baru di bangun tolong developer perbaiki aplikasi ini nanti ktp nya ngak bisa aktif tgl 27 bulan 4sudah bisa daftar nah gitu dong aku kasih bintang 4 dulu y,1,2024,5,2,-1
aplikasi tidak responsif berjalan lambat resolusi dokumen digitalnya juga rendah shg kurang jernih tambahkan fitur download dokumen karena sampai sat itu soft copy dokumenlah yang sangat dibutuhkan sat pengumpulan berkas rekrut tim it yang andal agar ui dan ux aplikasinya memuaskan penguna,2,2024,5,15,-1
yang seharusnya memudahkan jadinya bikin tambah ribet di kecamatan mau di pakai ngak bisa sedangkan di rumah pakai wifi bisa padahal metode koneksi udah mengunakan wifi dan data seluler,1,2024,5,20,-1
sangat mengecewakan dimana tampilan sangat buruk disat banyak aplikasi android sudah banyak yang suport dark mode mode gelap ini sebaliknya terkesan seperti aplikasi android buatan 10 tahun yang lalu dan masih jarang dapat update peningkatan pengalamanya bahkan belum tersedia untuk hp iphone,1,2024,4,28,-1
sangat sangat sangat jelek buruk udah di instal tapi gak bisa di buka aplikasinya keteranganya selalu kesalahan koneksi padahal udah pake paket data sama wifi sedangkan buka aplikasi lain lancar aja aplikasi gak layak guna pakai,1,2024,4,26,-1
aplikasi menyusahkan dimana2 fungsi software itu untuk mempermudah bukan sebaliknya ini aku jauh2 dari rumah ke kantor dukcapil buat scan barcode brp kali bolak balik tiap kesini eror koneksi mulu padahal jaringan normal bagus,1,2024,3,14,-1
aplikasi apa ini tidak membantu sama sekali tolong perbaikilah mau login gak bisa padahal sudah pakai wifi selalu tertulis jaringan tidak stabil padahal jaringan ful percuma yang tidak bisa cetak ktp ada aplikasi gak guna tolong perbaiki lagi aplikasi nya,1,2024,4,25,-1
konsep aplikasi ini sudah bagus masih ada banyak hal yang perlu ditingkatkan mulai dari kemudahan akses konektivitas terhubung ke server dan juga kemampuan untuk menyimpan data agar bisa diakses secara ofline karena saya melihat banyak sekali keluhan tentang masalah jaringan dan kendala mengakses aplikasi disat sedang tidak ada kuota internet setelah itu baru ditingkatkan lagi ul nya,1,2024,4,8,-1
aplikasi nya aslinya bagus tapi kenapa selalu gagal terus sat di buka gagal koneksi terus pada sinyal ful internet lancar cuman aplikasi ini aja yang bermasalah tolong perbaiki dulu agar mudah enak mengunakan nya,1,2024,4,26,-1
sangat buruk aplikasi tidak bisa terhubung dng data seluler harus pake wifi baru terbukaterhubung kalo di bilang jaringan yang buruk buka youtube aja lancar jaya artinya kesalahan bkn dari jaringan tapi dari aplikasi nya,1,2024,5,2,-1
harus dibuka pake wifi kalo pake paket data pribadi gak bisa alias memuat terus tolong dong admin diperbaiki ya aplikasinya masa harus nyari wifi dulu baru bisa dibuka gak efektif gak efisien dan gak praktis,1,2024,1,6,-1
